 format: day,hour,value location:53_38 Start : 20200701 
 1, 0000, 22.700001 
 1, 0100, 23.900000 
 1, 0200, 23.799999 
 1, 0300, 24.900000 
 1, 0400, 24.700001 
 1, 0500, 24.299999 
 1, 0600, 25.100000 
 1, 0700, 23.799999 
 1, 0800, 24.200001 
 1, 0900, 23.400000 
 1, 1000, 22.700001 
 1, 1100, 23.100000 
 1, 1200, 22.400000 
 1, 1300, 22.200001 
 1, 1400, 21.799999 
 1, 1500, 21.600000 
 1, 1600, 21.400000 
 1, 1700, 20.900000 
 1, 1800, 20.700001 
 1, 1900, 20.299999 
 1, 2000, 20.900000 
 1, 2100, 22.299999 
 1, 2200, 23.000000 
 1, 2300, 23.700001 
 2, 0000, 24.500000 
 2, 0100, 24.700001 
 2, 0200, 24.500000 
 2, 0300, 24.299999 
 2, 0400, 24.000000 
 2, 0500, 23.500000 
 2, 0600, 23.299999 
 2, 0700, 24.299999 
 2, 0800, 24.799999 
 2, 0900, 24.799999 
 2, 1000, 23.200001 
 2, 1100, 23.600000 
 2, 1200, 22.700001 
 2, 1300, 22.799999 
 2, 1400, 23.500000 
 2, 1500, 23.299999 
 2, 1600, 22.299999 
 2, 1700, 22.200001 
 2, 1800, 22.500000 
 2, 1900, 22.200001 
 2, 2000, 22.100000 
 2, 2100, 21.100000 
 2, 2200, 21.000000 
 2, 2300, 21.100000 
 3, 0000, 21.000000 
 3, 0100, 20.700001 
 3, 0200, 21.400000 
 3, 0300, 22.299999 
 3, 0400, 20.400000 
 3, 0500, 22.100000 
 3, 0600, 22.299999 
 3, 0700, 22.200001 
 3, 0800, 22.100000 
 3, 0900, 21.400000 
 3, 1000, 20.000000 
 3, 1100, 20.000000 
 3, 1200, 20.299999 
 3, 1300, 20.200001 
 3, 1400, 20.299999 
 3, 1500, 20.200001 
 3, 1600, 20.100000 
 3, 1700, 20.000000 
 3, 1800, 19.700001 
 3, 1900, 19.700001 
 3, 2000, 19.900000 
 3, 2100, 19.799999 
 3, 2200, 19.500000 
 3, 2300, 20.600000 
 4, 0000, 21.000000 
 4, 0100, 21.100000 
 4, 0200, 21.100000 
 4, 0300, 21.299999 
 4, 0400, 21.100000 
 4, 0500, 20.299999 
 4, 0600, 20.500000 
 4, 0700, 20.299999 
 4, 0800, 20.500000 
 4, 0900, 20.200001 
 4, 1000, 20.299999 
 4, 1100, 20.000000 
 4, 1200, 19.799999 
 4, 1300, 19.900000 
 4, 1400, 19.600000 
 4, 1500, 19.900000 
 4, 1600, 19.900000 
 4, 1700, 19.799999 
 4, 1800, 19.400000 
 4, 1900, 19.400000 
 4, 2000, 19.600000 
 4, 2100, 20.299999 
 4, 2200, 20.200001 
 4, 2300, 20.900000 
 5, 0000, 21.100000 
 5, 0100, 22.200001 
 5, 0200, 21.400000 
 5, 0300, 22.400000 
 5, 0400, 22.799999 
 5, 0500, 22.400000 
 5, 0600, 22.900000 
 5, 0700, 23.400000 
 5, 0800, 23.799999 
 5, 0900, 23.600000 
 5, 1000, 22.100000 
 5, 1100, 21.400000 
 5, 1200, 21.500000 
 5, 1300, 21.299999 
 5, 1400, 21.299999 
 5, 1500, 21.299999 
 5, 1600, 21.200001 
 5, 1700, 21.200001 
 5, 1800, 21.299999 
 5, 1900, 21.500000 
 5, 2000, 21.100000 
 5, 2100, 22.700001 
 5, 2200, 23.000000 
 5, 2300, 21.200001 
 6, 0000, 22.200001 
 6, 0100, 22.100000 
 6, 0200, 24.600000 
 6, 0300, 22.100000 
 6, 0400, 22.299999 
 6, 0500, 23.900000 
 6, 0600, 24.400000 
 6, 0700, 22.500000 
 6, 0800, 23.600000 
 6, 0900, 23.000000 
 6, 1000, 22.200001 
 6, 1100, 22.299999 
 6, 1200, 23.299999 
 6, 1300, 21.799999 
 6, 1400, 22.799999 
 6, 1500, 23.000000 
 6, 1600, 22.299999 
 6, 1700, 22.299999 
