 format: day,hour,value location:53_38 Start : 20200101 
 1, 0000, 341.000000 
 1, 0100, 302.000000 
 1, 0200, 320.000000 
 1, 0300, 301.000000 
 1, 0400, 318.000000 
 1, 0500, 295.000000 
 1, 0600, 278.000000 
 1, 0700, 285.000000 
 1, 0800, 304.000000 
 1, 0900, 321.000000 
 1, 1000, 289.000000 
 1, 1100, 306.000000 
 1, 1200, 277.000000 
 1, 1300, 290.000000 
 1, 1400, 234.000000 
 1, 1500, 143.000000 
 1, 1600, 185.000000 
 1, 1700, 183.000000 
 1, 1800, 189.000000 
 1, 1900, 185.000000 
 1, 2000, 181.000000 
 1, 2100, 219.000000 
 1, 2200, 166.000000 
 1, 2300, 207.000000 
 2, 0000, 329.000000 
 2, 0100, 350.000000 
 2, 0200, 316.000000 
 2, 0300, 308.000000 
 2, 0400, 317.000000 
 2, 0500, 314.000000 
 2, 0600, 314.000000 
 2, 0700, 319.000000 
 2, 0800, 316.000000 
 2, 0900, 304.000000 
 2, 1000, 275.000000 
 2, 1100, 296.000000 
 2, 1200, 306.000000 
 2, 1300, 351.000000 
 2, 1400, 295.000000 
 2, 1500, 313.000000 
 2, 1600, 298.000000 
 2, 1700, 307.000000 
 2, 1800, 294.000000 
 2, 1900, 298.000000 
 2, 2000, 282.000000 
 2, 2100, 233.000000 
 2, 2200, 199.000000 
 2, 2300, 308.000000 
 3, 0000, 336.000000 
 3, 0100, 310.000000 
 3, 0200, 316.000000 
 3, 0300, 310.000000 
 3, 0400, 293.000000 
 3, 0500, 295.000000 
 3, 0600, 294.000000 
 3, 0700, 278.000000 
 3, 0800, 299.000000 
 3, 0900, 309.000000 
 3, 1000, 317.000000 
 3, 1100, 298.000000 
 3, 1200, 267.000000 
 3, 1300, 207.000000 
 3, 1400, 189.000000 
 3, 1500, 175.000000 
 3, 1600, 164.000000 
 3, 1700, 175.000000 
 3, 1800, 170.000000 
 3, 1900, 166.000000 
 3, 2000, 162.000000 
 3, 2100, 175.000000 
 3, 2200, 163.000000 
 3, 2300, 179.000000 
 4, 0000, 204.000000 
 4, 0100, 354.000000 
 4, 0200, 333.000000 
 4, 0300, 323.000000 
 4, 0400, 280.000000 
 4, 0500, 292.000000 
 4, 0600, 289.000000 
 4, 0700, 291.000000 
 4, 0800, 280.000000 
 4, 0900, 282.000000 
 4, 1000, 272.000000 
 4, 1100, 246.000000 
 4, 1200, 323.000000 
 4, 1300, 22.000000 
 4, 1400, 171.000000 
 4, 1500, 188.000000 
 4, 1600, 159.000000 
 4, 1700, 174.000000 
 4, 1800, 163.000000 
 4, 1900, 159.000000 
 4, 2000, 157.000000 
 4, 2100, 157.000000 
 4, 2200, 148.000000 
 4, 2300, 149.000000 
 5, 0000, 55.000000 
 5, 0100, 24.000000 
 5, 0200, 22.000000 
 5, 0300, 43.000000 
 5, 0400, 39.000000 
 5, 0500, 42.000000 
 5, 0600, 60.000000 
 5, 0700, 95.000000 
 5, 0800, 119.000000 
 5, 0900, 109.000000 
 5, 1000, 105.000000 
 5, 1100, 96.000000 
 5, 1200, 110.000000 
 5, 1300, 104.000000 
 5, 1400, 91.000000 
 5, 1500, 160.000000 
 5, 1600, 212.000000 
 5, 1700, 163.000000 
 5, 1800, 162.000000 
 5, 1900, 160.000000 
 5, 2000, 142.000000 
 5, 2100, 193.000000 
 5, 2200, 279.000000 
 5, 2300, 126.000000 
 6, 0000, 93.000000 
 6, 0100, 200.000000 
 6, 0200, 176.000000 
 6, 0300, 32.000000 
 6, 0400, 282.000000 
 6, 0500, 130.000000 
 6, 0600, 29.000000 
 6, 0700, 166.000000 
 6, 0800, 115.000000 
 6, 0900, 152.000000 
 6, 1000, 218.000000 
 6, 1100, 220.000000 
 6, 1200, 237.000000 
 6, 1300, 228.000000 
 6, 1400, 214.000000 
 6, 1500, 210.000000 
 6, 1600, 209.000000 
 6, 1700, 207.000000 
 6, 1800, 228.000000 
 6, 1900, 220.000000 
 6, 2000, 232.000000 
 6, 2100, 213.000000 
 6, 2200, 211.000000 
 6, 2300, 215.000000 
 7, 0000, 202.000000 
 7, 0100, 199.000000 
 7, 0200, 199.000000 
 7, 0300, 209.000000 
 7, 0400, 205.000000 
 7, 0500, 203.000000 
 7, 0600, 216.000000 
 7, 0700, 212.000000 
 7, 0800, 206.000000 
 7, 0900, 242.000000 
 7, 1000, 229.000000 
 7, 1100, 238.000000 
 7, 1200, 240.000000 
 7, 1300, 250.000000 
 7, 1400, 270.000000 
 7, 1500, 279.000000 
 7, 1600, 277.000000 
 7, 1700, 284.000000 
 7, 1800, 290.000000 
 7, 1900, 304.000000 
 7, 2000, 293.000000 
 7, 2100, 288.000000 
 7, 2200, 289.000000 
 7, 2300, 299.000000 
 8, 0000, 300.000000 
 8, 0100, 297.000000 
 8, 0200, 299.000000 
 8, 0300, 290.000000 
 8, 0400, 298.000000 
 8, 0500, 308.000000 
 8, 0600, 289.000000 
 8, 0700, 297.000000 
 8, 0800, 304.000000 
 8, 0900, 336.000000 
 8, 1000, 320.000000 
 8, 1100, 307.000000 
 8, 1200, 315.000000 
 8, 1300, 323.000000 
 8, 1400, 300.000000 
 8, 1500, 339.000000 
 8, 1600, 308.000000 
 8, 1700, 285.000000 
 8, 1800, 290.000000 
 8, 1900, 300.000000 
 8, 2000, 309.000000 
 8, 2100, 307.000000 
 8, 2200, 329.000000 
 8, 2300, 344.000000 
 9, 0000, 351.000000 
 9, 0100, 328.000000 
 9, 0200, 320.000000 
 9, 0300, 328.000000 
 9, 0400, 297.000000 
 9, 0500, 299.000000 
 9, 0600, 298.000000 
 9, 0700, 307.000000 
 9, 0800, 310.000000 
 9, 0900, 337.000000 
 9, 1000, 334.000000 
 9, 1100, 328.000000 
 9, 1200, 349.000000 
 9, 1300, 355.000000 
 9, 1400, 345.000000 
 9, 1500, 316.000000 
 9, 1600, 20.000000 
 9, 1700, 8.000000 
 9, 1800, 10.000000 
 9, 1900, 173.000000 
 9, 2000, 214.000000 
 9, 2100, 173.000000 
 9, 2200, 181.000000 
 9, 2300, 186.000000 
 10, 0000, 164.000000 
 10, 0100, 32.000000 
 10, 0200, 30.000000 
 10, 0300, 27.000000 
 10, 0400, 20.000000 
 10, 0500, 359.000000 
 10, 0600, 20.000000 
 10, 0700, 318.000000 
 10, 0800, 341.000000 
 10, 0900, 18.000000 
 10, 1000, 16.000000 
 10, 1100, 344.000000 
 10, 1200, 303.000000 
 10, 1300, 241.000000 
 10, 1400, 206.000000 
 10, 1500, 232.000000 
 10, 1600, 315.000000 
 10, 1700, 314.000000 
 10, 1800, 333.000000 
 10, 1900, 312.000000 
 10, 2000, 352.000000 
 10, 2100, 1.000000 
 10, 2200, 356.000000 
 10, 2300, 4.000000 
 11, 0000, 19.000000 
 11, 0100, 18.000000 
 11, 0200, 5.000000 
 11, 0300, 341.000000 
 11, 0400, 8.000000 
 11, 0500, 321.000000 
 11, 0600, 311.000000 
 11, 0700, 317.000000 
 11, 0800, 316.000000 
 11, 0900, 322.000000 
 11, 1000, 314.000000 
 11, 1100, 332.000000 
 11, 1200, 319.000000 
 11, 1300, 354.000000 
 11, 1400, 360.000000 
 11, 1500, 327.000000 
 11, 1600, 329.000000 
 11, 1700, 323.000000 
 11, 1800, 0.000000 
 11, 1900, 330.000000 
 11, 2000, 351.000000 
 11, 2100, 322.000000 
 11, 2200, 330.000000 
 11, 2300, 318.000000 
 12, 0000, 313.000000 
 12, 0100, 311.000000 
 12, 0200, 315.000000 
 12, 0300, 302.000000 
 12, 0400, 294.000000 
 12, 0500, 307.000000 
 12, 0600, 319.000000 
 12, 0700, 304.000000 
 12, 0800, 326.000000 
 12, 0900, 313.000000 
 12, 1000, 308.000000 
 12, 1100, 302.000000 
 12, 1200, 304.000000 
 12, 1300, 310.000000 
 12, 1400, 310.000000 
 12, 1500, 278.000000 
 12, 1600, 305.000000 
 12, 1700, 296.000000 
 12, 1800, 293.000000 
 12, 1900, 313.000000 
 12, 2000, 310.000000 
 12, 2100, 308.000000 
 12, 2200, 322.000000 
 12, 2300, 311.000000 
 13, 0000, 319.000000 
 13, 0100, 312.000000 
 13, 0200, 308.000000 
 13, 0300, 292.000000 
 13, 0400, 314.000000 
 13, 0500, 311.000000 
 13, 0600, 312.000000 
 13, 0700, 309.000000 
 13, 0800, 331.000000 
 13, 0900, 301.000000 
 13, 1000, 358.000000 
 13, 1100, 5.000000 
 13, 1200, 32.000000 
 13, 1300, 13.000000 
 13, 1400, 58.000000 
 13, 1500, 27.000000 
 13, 1600, 56.000000 
 13, 1700, 36.000000 
 13, 1800, 74.000000 
 13, 1900, 38.000000 
 13, 2000, 20.000000 
 13, 2100, 47.000000 
 13, 2200, 173.000000 
 13, 2300, 137.000000 
 14, 0000, 49.000000 
 14, 0100, 22.000000 
 14, 0200, 28.000000 
 14, 0300, 28.000000 
 14, 0400, 277.000000 
 14, 0500, 170.000000 
 14, 0600, 191.000000 
 14, 0700, 178.000000 
 14, 0800, 212.000000 
 14, 0900, 172.000000 
 14, 1000, 169.000000 
 14, 1100, 214.000000 
 14, 1200, 180.000000 
 14, 1300, 177.000000 
 14, 1400, 275.000000 
 14, 1500, 295.000000 
 14, 1600, 351.000000 
 14, 1700, 10.000000 
 14, 1800, 7.000000 
 14, 1900, 3.000000 
 14, 2000, 342.000000 
 14, 2100, 310.000000 
 14, 2200, 333.000000 
 14, 2300, 347.000000 
 15, 0000, 5.000000 
 15, 0100, 4.000000 
 15, 0200, 356.000000 
 15, 0300, 314.000000 
 15, 0400, 308.000000 
 15, 0500, 322.000000 
 15, 0600, 309.000000 
 15, 0700, 348.000000 
 15, 0800, 352.000000 
 15, 0900, 15.000000 
 15, 1000, 20.000000 
 15, 1100, 15.000000 
 15, 1200, 356.000000 
 15, 1300, 341.000000 
 15, 1400, 290.000000 
 15, 1500, 263.000000 
 15, 1600, 226.000000 
 15, 1700, 301.000000 
 15, 1800, 354.000000 
 15, 1900, 353.000000 
 15, 2000, 1.000000 
 15, 2100, 333.000000 
 15, 2200, 202.000000 
 15, 2300, 191.000000 
 16, 0000, 169.000000 
 16, 0100, 44.000000 
 16, 0200, 41.000000 
 16, 0300, 20.000000 
 16, 0400, 26.000000 
 16, 0500, 42.000000 
 16, 0600, 345.000000 
 16, 0700, 303.000000 
 16, 0800, 308.000000 
 16, 0900, 242.000000 
 16, 1000, 236.000000 
 16, 1100, 2.000000 
 16, 1200, 305.000000 
 16, 1300, 329.000000 
 16, 1400, 316.000000 
 16, 1500, 309.000000 
 16, 1600, 260.000000 
 16, 1700, 286.000000 
 16, 1800, 252.000000 
 16, 1900, 307.000000 
