, format: day,hour,기온-value location:48_36 Start : 20210101,강수-value,강수형태,습도,풍속,풍향,하늘형태,뇌전
0, 1,0.0,4.9,0.0,0.0,50.0,2.8,5.0,-1.0,-1.0
1, 1,100.0,5.4,0.0,0.0,49.0,2.9,339.0,-1.0,-1.0
2, 1,200.0,5.8,0.0,0.0,51.0,1.9,337.0,-1.0,-1.0
3, 1,300.0,5.5,0.0,0.0,51.0,2.3,342.0,-1.0,-1.0
4, 1,400.0,5.8,0.0,0.0,53.0,2.4,335.0,-1.0,-1.0
5, 1,500.0,5.8,0.0,0.0,53.0,2.7,347.0,-1.0,-1.0
6, 1,600.0,6.0,0.0,0.0,53.0,2.3,326.0,-1.0,-1.0
7, 1,700.0,5.8,0.0,0.0,52.0,1.7,330.0,-1.0,-1.0
8, 1,800.0,6.1,0.0,0.0,49.0,2.6,330.0,-1.0,-1.0
9, 1,900.0,5.8,0.0,0.0,55.0,1.6,2.0,-1.0,-1.0
10, 1,1000.0,6.2,0.0,0.0,54.0,1.6,335.0,-1.0,-1.0
11, 1,1100.0,6.5,0.0,0.0,54.0,1.8,324.0,-1.0,-1.0
12, 1,1200.0,6.8,0.0,0.0,57.0,2.7,326.0,-1.0,-1.0
13, 1,1300.0,6.9,0.0,0.0,48.0,3.4,292.0,-1.0,-1.0
14, 1,1400.0,6.4,0.0,0.0,44.0,2.8,317.0,-1.0,-1.0
15, 1,1500.0,6.5,0.0,0.0,48.0,3.9,298.0,-1.0,-1.0
16, 1,1600.0,6.3,0.0,0.0,49.0,3.3,308.0,-1.0,-1.0
17, 1,1700.0,6.3,0.0,0.0,44.0,3.4,306.0,-1.0,-1.0
18, 1,1800.0,6.4,0.0,0.0,45.0,4.0,305.0,-1.0,-1.0
19, 1,1900.0,6.5,0.0,0.0,50.0,3.8,316.0,-1.0,-1.0
20, 1,2000.0,6.3,0.0,0.0,46.0,3.1,319.0,-1.0,-1.0
21, 1,2100.0,6.3,0.0,1.0,51.0,3.2,351.0,-1.0,-1.0
22, 1,2200.0,6.4,0.0,0.0,49.0,2.6,348.0,-1.0,-1.0
23, 1,2300.0,6.8,0.0,0.0,49.0,2.2,317.0,-1.0,-1.0
24, 2,0.0,7.0,0.0,0.0,51.0,3.0,343.0,-1.0,-1.0
25, 2,100.0,7.1,0.0,0.0,62.0,4.6,7.0,-1.0,-1.0
26, 2,200.0,7.4,0.0,0.0,55.0,4.2,3.0,-1.0,-1.0
27, 2,300.0,8.3,0.0,0.0,52.0,4.9,11.0,-1.0,-1.0
28, 2,400.0,7.6,0.0,0.0,51.0,4.0,8.0,-1.0,-1.0
29, 2,500.0,6.5,0.0,0.0,52.0,4.9,10.0,-1.0,-1.0
30, 2,600.0,6.3,0.0,0.0,55.0,6.2,21.0,-1.0,-1.0
31, 2,700.0,5.3,0.0,0.0,57.0,5.3,16.0,-1.0,-1.0
32, 2,800.0,4.4,0.0,0.0,56.0,5.9,24.0,-1.0,-1.0
33, 2,900.0,3.9,0.0,0.0,53.0,6.6,27.0,-1.0,-1.0
34, 2,1000.0,3.1,0.0,0.0,55.0,4.6,35.0,-1.0,-1.0
35, 2,1100.0,2.7,0.0,0.0,56.0,3.8,42.0,-1.0,-1.0
36, 2,1200.0,2.1,0.0,0.0,58.0,3.2,51.0,-1.0,-1.0
37, 2,1300.0,2.3,0.0,0.0,57.0,4.0,48.0,-1.0,-1.0
38, 2,1400.0,2.0,0.0,0.0,61.0,3.9,45.0,-1.0,-1.0
39, 2,1500.0,1.9,0.0,0.0,62.0,3.9,53.0,-1.0,-1.0
40, 2,1600.0,2.3,0.0,0.0,61.0,4.5,55.0,-1.0,-1.0
