,Year,Month, format: day,hour,기온,강수,강수형태,습도,풍속,풍향,하늘상태,뇌전
0,2021,01,1,0,5.0,0.0,0.0,49.0,2.9,323.0,-1.0,-1.0
1,2021,01,1,100,5.5,0.0,0.0,51.0,3.0,286.0,-1.0,-1.0
2,2021,01,1,200,5.5,0.0,0.0,50.0,3.0,255.0,-1.0,-1.0
3,2021,01,1,300,6.0,0.0,0.0,54.0,3.7,303.0,-1.0,-1.0
4,2021,01,1,400,5.9,0.0,0.0,54.0,3.7,295.0,-1.0,-1.0
5,2021,01,1,500,6.1,0.0,0.0,53.0,3.1,311.0,-1.0,-1.0
6,2021,01,1,600,6.0,0.0,0.0,55.0,4.1,313.0,-1.0,-1.0
7,2021,01,1,700,6.0,0.0,0.0,55.0,3.3,282.0,-1.0,-1.0
8,2021,01,1,800,6.0,0.0,0.0,56.0,3.1,305.0,-1.0,-1.0
9,2021,01,1,900,6.2,0.0,0.0,56.0,3.4,297.0,-1.0,-1.0
10,2021,01,1,1000,6.2,0.0,0.0,55.0,2.1,237.0,-1.0,-1.0
11,2021,01,1,1100,5.5,0.0,0.0,62.0,1.8,192.0,-1.0,-1.0
12,2021,01,1,1200,6.6,0.0,0.0,56.0,3.1,293.0,-1.0,-1.0
13,2021,01,1,1300,6.8,0.0,0.0,59.0,3.7,299.0,-1.0,-1.0
14,2021,01,1,1400,7.3,0.0,0.0,52.0,4.1,278.0,-1.0,-1.0
15,2021,01,1,1500,6.9,0.0,0.0,52.0,3.8,266.0,-1.0,-1.0
16,2021,01,1,1600,7.0,0.0,0.0,51.0,4.6,277.0,-1.0,-1.0
17,2021,01,1,1700,6.9,0.0,0.0,53.0,4.6,298.0,-1.0,-1.0
18,2021,01,1,1800,6.7,0.0,0.0,53.0,4.3,277.0,-1.0,-1.0
19,2021,01,1,1900,6.8,0.0,0.0,52.0,5.4,298.0,-1.0,-1.0
20,2021,01,1,2000,6.8,0.0,0.0,52.0,5.8,307.0,-1.0,-1.0
21,2021,01,1,2100,6.8,0.0,0.0,52.0,5.5,299.0,-1.0,-1.0
22,2021,01,1,2200,7.1,0.0,0.0,49.0,3.9,288.0,-1.0,-1.0
23,2021,01,1,2300,7.2,0.0,0.0,50.0,4.8,304.0,-1.0,-1.0
24,2021,01,2,0,7.6,0.0,0.0,51.0,3.3,269.0,-1.0,-1.0
25,2021,01,2,100,7.5,0.0,0.0,64.0,5.3,343.0,-1.0,-1.0
26,2021,01,2,200,6.9,0.0,0.0,67.0,5.7,335.0,-1.0,-1.0
27,2021,01,2,300,7.9,0.0,0.0,64.0,4.9,346.0,-1.0,-1.0
28,2021,01,2,400,6.8,0.0,0.0,65.0,4.3,359.0,-1.0,-1.0
29,2021,01,2,500,6.9,0.0,0.0,56.0,3.5,333.0,-1.0,-1.0
30,2021,01,2,600,6.8,0.0,0.0,54.0,3.9,315.0,-1.0,-1.0
31,2021,01,2,700,5.5,0.0,0.0,63.0,4.0,354.0,-1.0,-1.0
32,2021,01,2,800,4.8,0.0,0.0,61.0,3.8,351.0,-1.0,-1.0
33,2021,01,2,900,4.2,0.0,0.0,57.0,4.0,357.0,-1.0,-1.0
34,2021,01,2,1000,3.8,0.0,0.0,55.0,4.1,10.0,-1.0,-1.0
35,2021,01,2,1100,3.7,0.0,0.0,57.0,1.9,18.0,-1.0,-1.0
36,2021,01,2,1200,3.5,0.0,0.0,54.0,2.9,26.0,-1.0,-1.0
37,2021,01,2,1300,2.8,0.0,0.0,59.0,3.2,10.0,-1.0,-1.0
38,2021,01,2,1400,2.9,0.0,0.0,59.0,2.3,18.0,-1.0,-1.0
39,2021,01,2,1500,3.0,0.0,0.0,61.0,1.7,13.0,-1.0,-1.0
40,2021,01,2,1600,3.3,0.0,0.0,62.0,2.3,23.0,-1.0,-1.0
41,2021,01,2,1700,3.3,0.0,0.0,62.0,3.3,14.0,-1.0,-1.0
42,2021,01,2,1800,3.4,0.0,0.0,62.0,2.6,15.0,-1.0,-1.0
43,2021,01,2,1900,3.4,0.0,0.0,62.0,3.3,19.0,-1.0,-1.0
44,2021,01,2,2000,3.4,0.0,0.0,62.0,4.3,10.0,-1.0,-1.0
45,2021,01,2,2100,3.3,0.0,0.0,61.0,3.6,15.0,-1.0,-1.0
46,2021,01,2,2200,3.4,0.0,0.0,61.0,2.0,28.0,-1.0,-1.0
47,2021,01,2,2300,3.8,0.0,0.0,59.0,3.5,14.0,-1.0,-1.0
48,2021,01,3,0,4.2,0.0,0.0,57.0,4.2,23.0,-1.0,-1.0
49,2021,01,3,100,5.6,0.0,0.0,55.0,2.5,13.0,-1.0,-1.0
50,2021,01,3,200,5.3,0.0,0.0,53.0,2.9,3.0,-1.0,-1.0
51,2021,01,3,300,5.2,0.0,0.0,53.0,3.1,348.0,-1.0,-1.0
52,2021,01,3,400,5.2,0.0,0.0,54.0,2.2,300.0,-1.0,-1.0
53,2021,01,3,500,5.2,0.0,0.0,55.0,2.7,348.0,-1.0,-1.0
54,2021,01,3,600,5.0,0.0,0.0,57.0,1.7,338.0,-1.0,-1.0
55,2021,01,3,700,4.8,0.0,0.0,58.0,3.3,27.0,-1.0,-1.0
56,2021,01,3,800,4.7,0.0,0.0,57.0,1.1,93.0,-1.0,-1.0
57,2021,01,3,900,5.0,0.0,0.0,56.0,2.2,29.0,-1.0,-1.0
58,2021,01,3,1000,4.5,0.0,0.0,60.0,0.9,183.0,-1.0,-1.0
59,2021,01,3,1100,4.8,0.0,0.0,59.0,1.2,114.0,-1.0,-1.0
60,2021,01,3,1200,4.7,0.0,0.0,58.0,0.6,178.0,-1.0,-1.0
61,2021,01,3,1300,5.3,0.0,0.0,48.0,1.4,91.0,-1.0,-1.0
62,2021,01,3,1400,5.1,0.0,0.0,51.0,2.0,42.0,-1.0,-1.0
63,2021,01,3,1500,5.1,0.0,0.0,50.0,2.3,57.0,-1.0,-1.0
64,2021,01,3,1600,3.7,0.0,0.0,58.0,1.1,183.0,-1.0,-1.0
65,2021,01,3,1700,3.5,0.0,0.0,59.0,0.8,204.0,-1.0,-1.0
66,2021,01,3,1800,3.0,0.0,0.0,62.0,1.3,156.0,-1.0,-1.0
67,2021,01,3,1900,2.7,0.0,0.0,64.0,1.9,154.0,-1.0,-1.0
68,2021,01,3,2000,2.5,0.0,0.0,66.0,1.9,149.0,-1.0,-1.0
69,2021,01,3,2100,2.3,0.0,0.0,69.0,2.1,163.0,-1.0,-1.0
70,2021,01,3,2200,2.6,0.0,0.0,69.0,1.4,164.0,-1.0,-1.0
71,2021,01,3,2300,4.7,0.0,0.0,62.0,2.1,147.0,-1.0,-1.0
72,2021,01,4,0,8.2,0.0,0.0,50.0,1.1,89.0,-1.0,-1.0
73,2021,01,4,100,8.3,0.0,0.0,52.0,2.0,56.0,-1.0,-1.0
74,2021,01,4,200,7.7,0.0,0.0,52.0,3.6,35.0,-1.0,-1.0
75,2021,01,4,300,8.3,0.0,0.0,50.0,3.2,37.0,-1.0,-1.0
76,2021,01,4,400,8.2,0.0,0.0,52.0,2.1,30.0,-1.0,-1.0
77,2021,01,4,500,8.2,0.0,0.0,52.0,2.3,61.0,-1.0,-1.0
78,2021,01,4,600,8.0,0.0,0.0,52.0,2.0,88.0,-1.0,-1.0
79,2021,01,4,700,7.9,0.0,0.0,53.0,1.6,147.0,-1.0,-1.0
80,2021,01,4,800,7.7,0.0,0.0,54.0,1.7,153.0,-1.0,-1.0
81,2021,01,4,900,7.8,0.0,0.0,51.0,1.7,167.0,-1.0,-1.0
82,2021,01,4,1000,7.4,0.0,0.0,54.0,1.2,174.0,-1.0,-1.0
83,2021,01,4,1100,6.9,0.0,0.0,57.0,1.6,163.0,-1.0,-1.0
84,2021,01,4,1200,6.7,0.0,0.0,58.0,1.6,163.0,-1.0,-1.0
85,2021,01,4,1300,6.6,0.0,0.0,59.0,1.3,166.0,-1.0,-1.0
86,2021,01,4,1400,6.4,0.0,0.0,63.0,2.1,169.0,-1.0,-1.0
87,2021,01,4,1500,6.5,0.0,0.0,64.0,2.6,175.0,-1.0,-1.0
88,2021,01,4,1600,6.8,0.0,0.0,61.0,2.2,174.0,-1.0,-1.0
89,2021,01,4,1700,7.0,0.0,0.0,58.0,1.5,184.0,-1.0,-1.0
90,2021,01,4,1800,9.0,0.0,0.0,57.0,3.1,340.0,-1.0,-1.0
91,2021,01,4,1900,8.1,0.0,0.0,59.0,1.2,249.0,-1.0,-1.0
92,2021,01,4,2000,8.7,0.0,1.0,72.0,2.9,342.0,-1.0,-1.0
93,2021,01,4,2100,8.8,0.0,0.0,67.0,3.8,4.0,-1.0,-1.0
94,2021,01,4,2200,8.2,0.0,1.0,71.0,6.1,10.0,-1.0,-1.0
95,2021,01,4,2300,7.3,0.0,0.0,70.0,7.5,6.0,-1.0,-1.0
96,2021,01,5,0,7.0,0.0,0.0,65.0,6.2,3.0,-1.0,-1.0
97,2021,01,5,100,6.6,0.0,0.0,67.0,4.5,7.0,-1.0,-1.0
98,2021,01,5,200,6.5,0.0,0.0,60.0,4.8,1.0,-1.0,-1.0
99,2021,01,5,300,6.3,0.0,0.0,60.0,3.4,357.0,-1.0,-1.0
100,2021,01,5,400,5.6,0.0,0.0,64.0,4.4,5.0,-1.0,-1.0
101,2021,01,5,500,5.0,0.0,0.0,66.0,5.0,14.0,-1.0,-1.0
102,2021,01,5,600,4.5,0.0,0.0,62.0,4.2,12.0,-1.0,-1.0
